t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1783	0.05888147	0.002364126	0	0	0	0	0	0	0	0	0
t1784	0	0.034132835	0.16353628	0.3140958	0.46042973	0.5827012	0.6634013	0.69895256	0.68243647	0.61792886	0.5039071
t1785	0.36652422	0.22206765	0.08014276	0.003168493	0	0	0	0	0	0	0
t1786	0	0	0	0.0359811	0.15637596	0.30979612	0.4386503	0.53893054	0.6057424	0.64061093	0.57844
t1787	0.46648383	0.3500001	0.24295853	0.16777022	0.057033833	0.003119161	0	0	0	0	0
t1788	0	0	0	0	1.58E-05	0.029710852	0.10410388	0.20518246	0.34503356	0.4190758	0.501951
t1789	0.40332213	0.37418923	0.33099526	0.30365625	0.19781853	0.13322654	0.056060985	0.00349217	0	0	0
t1790	0	0	0	0	0	0	2.95E-05	0.034572158	0.1432508	0.26652595	0.40569547
t1791	0.5372674	0.54863334	0.5519782	0.5279309	0.45530117	0.37529767	0.25458264	0.15906344	0.068103835	0.004859167	0
t1792	0	0	0	0	0	0	0	0	7.15E-05	0.045620654	0.17656034
t1793	0.32426697	0.4589054	0.5523713	0.63789755	0.6718029	0.6598078	0.6025356	0.48332742	0.35348892	0.21067478	0.08642014
t1794	0.005723948	0	0	0	0	0	0	0	0	0	0.000149345
t1795	0.04603411	0.16392028	0.2987064	0.44160452	0.549049	0.6176191	0.6668011	0.6501068	0.590507	0.4939265	0.37050632
t1796	0.22592188	0.08726134	0.006143008	0	0	0	0	0	0	0	0
t1797	0	2.73E-04	0.050511822	0.18158604	0.3271805	0.4645394	0.57155985	0.649704	0.6794046	0.66420937	0.59951586
t1798	0.5020711	0.36664674	0.2325235	0.093767285	0.007117073	0	0	0	0	0	0
t1799	0	0	0	0.000444635	0.058222152	0.19719675	0.34976476	0.48872352	0.5978907	0.6695364	0.6976238
t1800	0.6800275	0.61473304	0.5180542	0.38817978	0.24157614	0.10024824	0.008341956	0	0	0	0
t1801	0	0	0	0	0	0.000728706	0.063472874	0.20496432	0.35903725	0.49756658	0.6066724
t1802	0.6775488	0.70447826	0.68503475	0.62315845	0.5238001	0.39185348	0.24404584	0.10275224	0.00964405	0	0
t1803	0	0	0	0	0	0	0	0.001038527	0.06267952	0.16557421	0.2877136
t1804	0.4180417	0.506613	0.58275574	0.59079814	0.5376356	0.48811167	0.41695723	0.3139084	0.20198357	0.08804994	0.009472708
t1805	0	0	0	0	0	0	0	0	0	0.001403831	0.059823617
