t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t2755	0.12840104	0.19043213	0.25291464	0.30096453	0.35354322	0.36381322	0.3516515	0.31541023	0.27733868	0.24530298	0.19855502
t2756	0.1398789	0.082783006	0.03325741	0.00368778	0	0	0	0	0	0	8.43E-05
t2757	0.007176407	0.037749853	0.081528276	0.11865529	0.16860098	0.20777784	0.27420798	0.300934	0.34341148	0.34591004	0.33291212
t2758	0.28521752	0.24941179	0.17597787	0.09661175	0.034181938	0.003946609	0	0	0	0	0
t2759	0	0.000101295	0.00640907	0.03533191	0.07970137	0.13150458	0.20208444	0.27051988	0.35806516	0.43009335	0.44793043
t2760	0.45378906	0.40855953	0.36592013	0.29620844	0.21717414	0.13113286	0.044808187	0.00511277	0	0	0
t2761	0	0	0	0.000145402	0.008375556	0.045746624	0.10589881	0.15591101	0.23036079	0.32767907	0.3827415
t2762	0.42717397	0.4617919	0.40792012	0.38600442	0.33216408	0.25938082	0.18441293	0.11094286	0.04050321	0.003891541	0
t2763	0	0	0	0	0	0.000128688	0.007842423	0.04071791	0.087659344	0.18298605	0.26280248
t2764	0.33633178	0.36983788	0.4141961	0.43076017	0.44724968	0.37949014	0.3401761	0.2588855	0.17091095	0.09634738	0.04013357
t2765	0.004340365	0	0	0	0	0	0	0.000103903	0.010400471	0.06171069	0.1439878
t2766	0.25012136	0.35753858	0.47266233	0.5141538	0.52474093	0.54745317	0.48327827	0.4223833	0.34256023	0.2762643	0.19602638
t2767	0.12520377	0.047209807	0.004832693	0	0	0	0	0	0	0.000129607	0.010693979
t2768	0.06065355	0.13762763	0.2181984	0.29527155	0.34962565	0.37793618	0.39101237	0.39682233	0.42170423	0.35100856	0.33844325
t2769	0.2602416	0.1890341	0.10430049	0.03927636	0.003950829	0	0	0	0	0	0
t2770	8.77E-05	0.006770027	0.037654493	0.0878488	0.15640901	0.23969956	0.32318756	0.3938703	0.39830843	0.35116717	0.28910464
t2771	0.21749826	0.17896977	0.13604006	0.09921265	0.059230536	0.027933542	0.002846305	0	0	0	0
t2772	0	0	7.65E-05	0.007633502	0.041527215	0.09338552	0.16635951	0.23292798	0.2855114	0.31830725	0.33052558
