	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6438	0.0002	0.00444	0	0.00002	0.00002	0	0	0	0.00172	0.00088	0	0.002	0.002	0.011	0.019	0.026	0.004
t6439	0.02209	0.02673	0.00325	0.01192	0.00264	0.0001	0.0032	0.00331	0.01309	0.02836	0.00011	0.069	0.023	0.044	0.157	0.094	0.035
t6440	0.07398	0.05952	0.03661	0.06672	0.01141	0.02903	0.05782	0.03835	0.04034	0.08981	0.01571	0.197	0.068	0.085	0.328	0.169	0.082
t6441	0.13591	0.11158	0.08303	0.14133	0.02127	0.13037	0.16614	0.07137	0.07215	0.15518	0.06943	0.364	0.114	0.127	0.463	0.252	0.13
t6442	0.22265	0.16218	0.14936	0.22745	0.03499	0.25146	0.28138	0.11137	0.10169	0.21987	0.14611	0.53	0.164	0.156	0.554	0.322	0.177
t6443	0.27567	0.21712	0.21405	0.3094	0.05644	0.36835	0.35782	0.15521	0.12277	0.24835	0.21155	0.62	0.201	0.17	0.607	0.354	0.203
t6444	0.30018	0.24318	0.22104	0.35204	0.07663	0.45736	0.43582	0.16334	0.12889	0.25498	0.28569	0.63	0.181	0.163	0.613	0.331	0.206
t6445	0.36237	0.22127	0.21382	0.37117	0.07316	0.4802	0.43806	0.15727	0.12175	0.23967	0.30705	0.591	0.148	0.147	0.577	0.267	0.19
t6446	0.35773	0.18604	0.22575	0.34666	0.07315	0.48003	0.4162	0.16169	0.10873	0.19113	0.29772	0.509	0.106	0.117	0.502	0.184	0.149
t6447	0.29313	0.1457	0.21848	0.27782	0.06175	0.43087	0.37006	0.15012	0.08987	0.15044	0.25581	0.375	0.059	0.08	0.382	0.099	0.099
t6448	0.20143	0.09077	0.1727	0.20439	0.04785	0.3522	0.28113	0.11461	0.0673	0.10272	0.19511	0.224	0.025	0.034	0.225	0.032	0.05
t6449	0.10843	0.03094	0.10593	0.11901	0.02731	0.23147	0.1832	0.06658	0.03814	0.05155	0.14701	0.072	0.003	0.001	0.065	0.001	0.008
t6450	0.02461	0.0006	0.04165	0.03401	0.00737	0.12797	0.08462	0.02291	0.01133	0.00788	0.08219	0	0	0	0	0	0
t6451	0.00015	0	0.00351	0.00052	0.00005	0.03751	0.01073	0.00154	0.00098	0	0.02208	0	0	0	0	0	0
t6452	0	0	0	0	0	0.00056	0.00002	0	0.00022	0	0.00012	0	0	0	0	0	0
t6453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6462	0.00022	0.00391	0	0	0	0	0	0	0.00087	0.00049	0	0.001	0.001	0.021	0.014	0.021	0.003
