	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
Sc2.t5946	0.057	0.015	0.125	0.075	0.070	0.293	0.209	0.141	0.068	0.073	0.149	0.028	0.001	0.000	0.010	0.000	0.002
Sc2.t5947	0.006	0.000	0.043	0.015	0.016	0.136	0.074	0.040	0.024	0.013	0.072	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5948	0.000	0.000	0.001	0.000	0.000	0.020	0.004	0.001	0.004	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5949	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5950	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5951	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5952	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5954	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5955	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5956	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5957	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.002	0.000	0.000	0.003	0.010	0.000	0.018	0.001
Sc2.t5958	0.003	0.032	0.000	0.001	0.003	0.000	0.000	0.000	0.021	0.020	0.000	0.025	0.083	0.111	0.044	0.112	0.080
Sc2.t5959	0.030	0.097	0.029	0.031	0.055	0.002	0.020	0.029	0.057	0.079	0.005	0.154	0.238	0.261	0.170	0.243	0.233
Sc2.t5960	0.063	0.165	0.099	0.088	0.141	0.074	0.110	0.118	0.106	0.136	0.052	0.345	0.394	0.409	0.326	0.368	0.389
Sc2.t5961	0.093	0.235	0.204	0.154	0.239	0.236	0.235	0.230	0.163	0.210	0.125	0.529	0.517	0.536	0.443	0.480	0.506
Sc2.t5962	0.103	0.308	0.298	0.219	0.306	0.408	0.362	0.342	0.221	0.276	0.207	0.640	0.577	0.623	0.523	0.552	0.591
Sc2.t5963	0.123	0.330	0.400	0.277	0.375	0.553	0.454	0.449	0.256	0.317	0.292	0.700	0.605	0.656	0.585	0.575	0.612
Sc2.t5964	0.157	0.346	0.365	0.323	0.393	0.652	0.517	0.527	0.268	0.338	0.368	0.716	0.606	0.642	0.589	0.541	0.596
Sc2.t5965	0.170	0.297	0.361	0.372	0.422	0.713	0.540	0.551	0.252	0.339	0.407	0.688	0.575	0.576	0.556	0.458	0.565
Sc2.t5966	0.184	0.252	0.384	0.347	0.360	0.714	0.519	0.527	0.246	0.287	0.405	0.614	0.495	0.487	0.481	0.359	0.442
Sc2.t5967	0.187	0.202	0.340	0.295	0.346	0.664	0.454	0.455	0.218	0.256	0.360	0.500	0.380	0.363	0.370	0.232	0.292
Sc2.t5968	0.165	0.143	0.287	0.234	0.229	0.578	0.361	0.374	0.156	0.199	0.317	0.339	0.231	0.211	0.227	0.120	0.173
Sc2.t5969	0.103	0.073	0.169	0.151	0.156	0.449	0.255	0.258	0.103	0.136	0.247	0.159	0.081	0.061	0.088	0.031	0.068
Sc2.t5970	0.049	0.019	0.093	0.075	0.079	0.294	0.145	0.146	0.051	0.068	0.168	0.024	0.002	0.000	0.007	0.000	0.001
Sc2.t5971	0.005	0.000	0.035	0.013	0.015	0.130	0.049	0.045	0.016	0.011	0.085	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5972	0.000	0.000	0.001	0.000	0.000	0.015	0.002	0.001	0.003	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5975	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
