	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6756	0.53676	0.33938	0.47743	0.46513	0.4157	0.57415	0.33987	0.4543	0.19504	0.26239	0.30592	0.683	0.591	0.495	0.439	0.446	0.636
t6757	0.52742	0.29659	0.49811	0.46616	0.41943	0.63097	0.33926	0.47298	0.18923	0.25943	0.34871	0.649	0.537	0.461	0.402	0.389	0.599
t6758	0.4679	0.23965	0.47153	0.4232	0.38214	0.6256	0.32421	0.44583	0.15655	0.22883	0.34785	0.562	0.408	0.386	0.341	0.288	0.513
t6759	0.36235	0.16302	0.40011	0.34367	0.30752	0.57341	0.26004	0.37487	0.10832	0.17558	0.31598	0.422	0.224	0.256	0.253	0.165	0.38
t6760	0.23187	0.07	0.29124	0.23354	0.20442	0.47233	0.18539	0.27093	0.06207	0.10223	0.25439	0.228	0.074	0.101	0.139	0.054	0.203
t6761	0.09272	0.00816	0.16305	0.1084	0.091	0.32979	0.11422	0.1457	0.02942	0.03065	0.16759	0.054	0.001	0.001	0.026	0	0.014
t6762	0.00593	0	0.04195	0.01398	0.00882	0.16782	0.03812	0.03306	0.00342	0.00046	0.06936	0	0	0	0	0	0
t6763	0	0	0.0001	0	0	0.02885	0.00159	0	0.00029	0	0.00462	0	0	0	0	0	0
t6764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6774	0	0.00168	0	0	0	0	0	0	0.00005	0	0	0	0.008	0.028	0.001	0.017	0.008
t6775	0.02214	0.05636	0.00012	0.00566	0.0022	0.00014	0.00131	0.00011	0.00164	0.00686	0	0.093	0.122	0.184	0.075	0.101	0.127
t6776	0.14049	0.16055	0.04824	0.08652	0.06511	0.01811	0.03562	0.04884	0.02052	0.06429	0.00446	0.287	0.324	0.358	0.218	0.205	0.314
t6777	0.2819	0.2579	0.16908	0.21497	0.17725	0.1364	0.13882	0.171	0.05993	0.14824	0.05384	0.448	0.477	0.495	0.346	0.303	0.47
t6778	0.41124	0.33732	0.28712	0.33345	0.28468	0.29521	0.25713	0.29712	0.10532	0.22834	0.12914	0.557	0.568	0.585	0.433	0.359	0.574
t6779	0.49043	0.3646	0.3572	0.41795	0.36451	0.44861	0.35472	0.39304	0.13833	0.29154	0.19863	0.614	0.611	0.627	0.482	0.383	0.628
t6780	0.5272	0.35897	0.42039	0.46862	0.40827	0.55948	0.39807	0.45591	0.15326	0.31901	0.25833	0.629	0.606	0.622	0.49	0.368	0.634
t6781	0.51924	0.3057	0.44152	0.47225	0.41219	0.61866	0.40604	0.47435	0.15237	0.31044	0.29857	0.6	0.552	0.569	0.457	0.323	0.594
t6782	0.4598	0.24701	0.42263	0.43033	0.37384	0.62067	0.38841	0.44608	0.13037	0.26558	0.30258	0.523	0.447	0.469	0.381	0.245	0.507
t6783	0.35428	0.16416	0.36248	0.34566	0.29998	0.57231	0.35166	0.37421	0.10022	0.19479	0.27432	0.396	0.296	0.323	0.272	0.141	0.373
t6784	0.2269	0.07366	0.25316	0.23169	0.19675	0.46874	0.26724	0.26837	0.06316	0.1078	0.2126	0.227	0.125	0.14	0.144	0.041	0.201
t6785	0.08797	0.00696	0.12541	0.10302	0.08442	0.32902	0.15917	0.14189	0.03079	0.02783	0.13289	0.057	0.003	0.001	0.025	0	0.012
t6786	0.00472	0	0.02604	0.01149	0.00714	0.16413	0.05258	0.03014	0.00419	0.00029	0.05143	0	0	0	0	0	0
t6787	0	0	0.00003	0	0	0.02653	0.00204	0	0.00015	0	0.00282	0	0	0	0	0	0
t6788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6798	0	0.00075	0	0	0	0	0	0	0.00001	0	0	0	0.004	0.022	0.002	0.011	0.008
