	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1557	0.19902	0.13917	0.17518	0.06518	0.10505	0.0205	0.01763	0.16317	0.10406	0.04918	0.08898	0.25209	0.88112	0.65584	0.13648	0.7685	0.01234
t1558	0.21106	0.14221	0.13069	0.06317	0.1044	0.0268	0.01939	0.16528	0.09947	0.03758	0.10786	0.26393	0.8746	0.7082	0.16037	0.76179	0.01308
t1559	0.21744	0.10939	0.10358	0.07315	0.12233	0.0212	0.02818	0.16042	0.11282	0.02677	0.14604	0.2487	0.86117	0.75705	0.17993	0.74704	0.01326
t1560	0.23041	0.11367	0.0916	0.07003	0.15427	0.01879	0.0295	0.13469	0.11133	0.02519	0.16839	0.22086	0.84567	0.76919	0.1964	0.7344	0.01451
t1561	0.17426	0.12828	0.07323	0.06943	0.16448	0.01258	0.03182	0.11178	0.1173	0.02647	0.19322	0.20065	0.82749	0.79953	0.20282	0.72147	0.01518
t1562	0.14681	0.12652	0.05901	0.0795	0.15434	0.00383	0.03554	0.09541	0.13637	0.03153	0.20336	0.18016	0.81112	0.79871	0.20172	0.69825	0.00995
t1563	0.11651	0.13859	0.04804	0.08897	0.14734	0.00111	0.03483	0.09722	0.15577	0.0363	0.20898	0.15957	0.7923	0.79865	0.19981	0.66126	0.00288
t1564	0.09393	0.16233	0.04265	0.10217	0.15563	0.00091	0.03528	0.09826	0.17166	0.03772	0.22114	0.13439	0.75756	0.81056	0.19446	0.62446	0.00132
t1565	0.09328	0.19349	0.04127	0.1096	0.1701	0.00259	0.03495	0.0963	0.19011	0.03252	0.21886	0.11075	0.70994	0.8163	0.18929	0.58014	0.00168
t1566	0.11672	0.24084	0.0374	0.11734	0.1675	0.00595	0.03553	0.08414	0.20602	0.02716	0.22545	0.09128	0.66039	0.79285	0.1767	0.52247	0.00155
t1567	0.1258	0.289	0.03766	0.12135	0.15438	0.01162	0.03563	0.07545	0.2463	0.02442	0.24998	0.06714	0.57828	0.7034	0.14334	0.46595	0.00273
t1568	0.12864	0.34106	0.03882	0.12583	0.11891	0.01288	0.03664	0.06229	0.28927	0.0243	0.2829	0.02797	0.52811	0.75193	0.10513	0.48055	0.0005
t1569	0.14839	0.25682	0.04339	0.13988	0.10012	0.01173	0.03435	0.04633	0.32427	0.02369	0.29838	0.0178	0.53364	0.80359	0.08561	0.46548	0.00144
t1570	0.1755	0.2276	0.04294	0.16134	0.07822	0.00615	0.02136	0.04003	0.34979	0.02092	0.31455	0.02965	0.59408	0.78884	0.07718	0.44524	0.00586
t1571	0.24836	0.20248	0.03549	0.12977	0.16639	0.00292	0.01674	0.03461	0.33078	0.03038	0.27633	0.04323	0.5847	0.72935	0.07568	0.42813	0.00624
t1572	0.24729	0.22052	0.02754	0.12916	0.16257	0.00093	0.02016	0.02915	0.33002	0.03481	0.33683	0.04429	0.5536	0.67349	0.07641	0.40955	0.00862
t1573	0.2217	0.22628	0.0217	0.14429	0.17413	0.00087	0.02606	0.01845	0.32934	0.0385	0.41766	0.03766	0.51222	0.65944	0.07761	0.38342	0.01376
t1574	0.23325	0.24323	0.01576	0.18175	0.17422	0.00001	0.03118	0.01196	0.32136	0.03767	0.47246	0.0271	0.4673	0.65529	0.0759	0.36471	0.01992
t1575	0.29917	0.3062	0.00871	0.20835	0.12831	0.00002	0.03941	0.01688	0.31011	0.04294	0.50122	0.01659	0.42591	0.63214	0.07024	0.35644	0.02303
t1576	0.28353	0.40598	0.0069	0.22413	0.0753	0.00055	0.04775	0.02654	0.32642	0.04821	0.50698	0.00942	0.37938	0.51733	0.06217	0.36021	0.02596
t1577	0.37719	0.47101	0.01003	0.22849	0.06881	0.00085	0.05585	0.02395	0.34025	0.05738	0.51807	0.00732	0.39032	0.42118	0.05709	0.44125	0.02879
