	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t7417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7423	0.00014	0.00179	0	0	0	0	0	0	0	0	0	0	0.002	0.022	0.006	0.012	0.001
t7424	0.04168	0.03603	0.00176	0.01089	0.00185	0.00144	0.0054	0.0003	0.00007	0.0022	0	0.013	0.022	0.114	0.062	0.077	0.01
t7425	0.14528	0.09313	0.05275	0.07307	0.03168	0.04294	0.04672	0.01467	0.00662	0.02222	0.0018	0.052	0.052	0.218	0.147	0.166	0.033
t7426	0.26005	0.14628	0.15054	0.14774	0.07932	0.1386	0.10399	0.04112	0.03534	0.05398	0.01618	0.13	0.094	0.29	0.219	0.233	0.053
t7427	0.33385	0.17649	0.23982	0.21137	0.1279	0.23998	0.16252	0.07545	0.06925	0.07586	0.04266	0.195	0.144	0.302	0.264	0.271	0.06
t7428	0.38763	0.1893	0.30738	0.24462	0.17246	0.3297	0.20215	0.09871	0.08647	0.09086	0.08717	0.207	0.121	0.255	0.273	0.282	0.063
t7429	0.37985	0.17314	0.33486	0.24281	0.18704	0.34055	0.20473	0.117	0.08855	0.08795	0.12087	0.19	0.072	0.172	0.251	0.241	0.05
t7430	0.32558	0.12501	0.3129	0.21396	0.15385	0.34874	0.17681	0.11445	0.06807	0.07114	0.13102	0.153	0.038	0.082	0.203	0.155	0.04
t7431	0.23206	0.05915	0.24567	0.159	0.10697	0.28785	0.13267	0.09085	0.03981	0.03985	0.12253	0.097	0.013	0.021	0.124	0.056	0.02
t7432	0.10993	0.00533	0.14937	0.08293	0.05124	0.22509	0.08306	0.04526	0.01475	0.01168	0.08071	0.028	0	0	0.036	0	0.002
t7433	0.01272	0	0.04472	0.01503	0.00376	0.14121	0.03192	0.00951	0.00101	0.00025	0.03398	0	0	0	0	0	0
t7434	0	0	0.00018	0	0	0.04569	0.00242	0.00003	0	0	0.00255	0	0	0	0	0	0
t7435	0	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0
t7436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7447	0.00008	0.00106	0	0	0	0	0	0	0	0	0	0.001	0.003	0.01	0.014	0.006	0.014
t7448	0.03523	0.02983	0.00181	0.01122	0.00163	0.0015	0.0034	0.00031	0.00001	0.00172	0	0.051	0.052	0.051	0.123	0.04	0.112
t7449	0.11928	0.09461	0.06235	0.07926	0.03282	0.06077	0.03768	0.01571	0.0029	0.0232	0.00397	0.15	0.176	0.1	0.265	0.081	0.276
t7450	0.20034	0.16546	0.16755	0.16267	0.07974	0.19356	0.09902	0.04288	0.01905	0.06177	0.03557	0.308	0.215	0.15	0.374	0.1	0.403
t7451	0.29446	0.1999	0.25366	0.22295	0.13076	0.32033	0.18082	0.05377	0.03642	0.09307	0.07374	0.443	0.209	0.195	0.435	0.106	0.476
t7452	0.35199	0.18578	0.32362	0.2419	0.1738	0.41456	0.21617	0.0785	0.04571	0.10871	0.09429	0.527	0.171	0.21	0.448	0.088	0.487
t7453	0.34384	0.16508	0.33242	0.22077	0.20116	0.4713	0.24615	0.08228	0.04317	0.10194	0.10731	0.523	0.124	0.186	0.417	0.061	0.448
t7454	0.29826	0.10243	0.29659	0.16066	0.18719	0.44972	0.25151	0.08586	0.03045	0.07226	0.09578	0.452	0.084	0.126	0.345	0.033	0.352
t7455	0.21148	0.03862	0.20424	0.09734	0.13122	0.37817	0.20084	0.0912	0.01685	0.03488	0.08181	0.304	0.045	0.056	0.232	0.012	0.212
t7456	0.09747	0.00224	0.09138	0.04048	0.05241	0.27805	0.13499	0.06266	0.00688	0.01053	0.05503	0.123	0.001	0.003	0.096	0	0.039
t7457	0.01086	0	0.02266	0.0044	0.00281	0.16177	0.05727	0.01443	0.00051	0.00017	0.02375	0	0	0	0	0	0
t7458	0	0	0.00007	0	0	0.05047	0.00495	0.00002	0	0	0.00147	0	0	0	0	0	0
t7459	0	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0
t7460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7471	0.00003	0.00094	0	0	0	0	0	0	0	0	0	0.001	0.003	0.008	0.018	0.001	0.034
t7472	0.02008	0.0311	0.00039	0.00223	0.00131	0.00161	0.0046	0.0006	0.00001	0.00104	0	0.119	0.054	0.047	0.137	0.019	0.194
t7473	0.07776	0.08421	0.02307	0.01855	0.03282	0.05581	0.05118	0.04182	0.00351	0.01421	0.00522	0.276	0.137	0.086	0.29	0.048	0.348
t7474	0.13847	0.1365	0.09531	0.04775	0.08521	0.1688	0.12689	0.11816	0.02468	0.03806	0.05362	0.354	0.216	0.115	0.401	0.082	0.448
t7475	0.1961	0.17258	0.17587	0.07615	0.15547	0.27128	0.19661	0.17901	0.04844	0.05773	0.12723	0.408	0.272	0.14	0.461	0.11	0.503
t7476	0.23068	0.15667	0.18105	0.09646	0.18539	0.3484	0.23763	0.22133	0.06236	0.0677	0.19096	0.429	0.284	0.134	0.473	0.122	0.505
t7477	0.23154	0.12776	0.16202	0.10436	0.15368	0.37151	0.25766	0.19949	0.05915	0.06768	0.21354	0.414	0.252	0.111	0.439	0.11	0.444
t7478	0.20205	0.09224	0.12808	0.10742	0.12697	0.35112	0.23522	0.18343	0.04669	0.04963	0.20664	0.351	0.19	0.069	0.365	0.07	0.324
t7479	0.13541	0.03745	0.1146	0.075	0.09009	0.3051	0.18065	0.12261	0.02672	0.02596	0.17197	0.231	0.108	0.023	0.239	0.022	0.175
t7480	0.05895	0.0028	0.07242	0.0408	0.0393	0.22792	0.12166	0.06908	0.00937	0.00688	0.11378	0.083	0.011	0	0.087	0	0.028
t7481	0.00608	0	0.0233	0.00655	0.00189	0.1243	0.05059	0.01476	0.00055	0.00007	0.0477	0	0	0	0	0	0
t7482	0	0	0.00008	0	0	0.03796	0.00334	0.00003	0	0	0.00281	0	0	0	0	0	0
t7483	0	0	0	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0
t7484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7495	0.00001	0.00092	0	0	0	0	0	0	0	0	0	0	0.001	0.014	0.02	0.004	0.011
t7496	0.01847	0.03713	0.00066	0.00533	0.00087	0.00111	0.00523	0.00034	0	0.00067	0	0.05	0.016	0.07	0.122	0.033	0.083
t7497	0.07189	0.10513	0.02755	0.05126	0.02117	0.04212	0.0503	0.03997	0.00352	0.00845	0.00553	0.165	0.044	0.148	0.241	0.079	0.173
t7498	0.13614	0.1674	0.09283	0.11243	0.04643	0.1445	0.12783	0.10548	0.02849	0.02521	0.05602	0.303	0.079	0.231	0.342	0.127	0.231
t7499	0.18451	0.18856	0.14591	0.17273	0.06238	0.25257	0.20788	0.11993	0.05582	0.03865	0.12572	0.446	0.096	0.276	0.412	0.156	0.242
t7500	0.21615	0.19069	0.15653	0.19885	0.09503	0.34996	0.25079	0.13638	0.07323	0.0486	0.18342	0.503	0.101	0.279	0.433	0.163	0.224
t7501	0.21246	0.16197	0.12464	0.18616	0.08968	0.39097	0.26004	0.14431	0.07411	0.04321	0.20557	0.486	0.084	0.244	0.402	0.134	0.191
t7502	0.17443	0.11701	0.12527	0.13869	0.05791	0.39963	0.24149	0.13658	0.05591	0.0315	0.18732	0.413	0.049	0.159	0.318	0.074	0.121
t7503	0.12867	0.05066	0.11352	0.08164	0.03676	0.34646	0.19177	0.09862	0.03271	0.01565	0.14201	0.286	0.02	0.057	0.202	0.02	0.056
